AREA,DISTANCE_F_C_C,FLOOR,MAX_FLOOR,ROOMS,WINDOWS,PRICE
60.9,700,2,6,4,8,153430
87.2,7700,5,9,6,7,112740
53.3,500,1,2,2,6,145440
91.4,6400,2,2,2,6,135230
59.4,7300,3,5,5,6,75780
62.7,700,3,8,3,7,130320
36.2,500,1,12,3,5,95420
38.2,6700,8,9,1,3,58750
65.2,9300,5,7,1,4,108950
36.2,7000,1,7,3,7,43680
38,9100,1,5,1,4,46990
47.4,5400,2,3,4,6,76950
31.3,7900,1,2,1,2,39070
30.1,900,5,11,1,3,80000
67.4,6400,8,9,5,8,87770
20.1,2900,4,9,2,6,42080
52,2600,1,4,2,3,91860
55,5100,1,2,1,2,82360
22.9,5800,5,5,1,2,31920
40.6,2400,4,4,4,5,80780
26.8,4300,6,9,2,5,47730
56.2,3200,3,5,1,5,142650
36,5900,3,3,2,5,56730
89.6,5600,2,9,4,6,153720
36.6,5700,1,2,1,5,46670
64.6,7600,9,9,5,7,83600
20.4,3200,6,7,1,5,34530
26.1,4000,6,7,3,4,48920
46.1,2600,4,5,2,4,74050
49.3,4800,1,2,2,6,117260
31.4,4500,2,4,1,4,72420
58.7,7300,1,3,3,7,89590
68.4,3600,7,7,2,3,122620
46.7,6800,1,4,1,4,78300
32,6600,2,2,4,5,53530
48.4,2600,9,12,1,2,103500
66.9,7900,2,3,2,6,83690
28.1,9100,4,5,3,5,33550
48.2,700,5,5,5,7,96300
75.3,3500,5,8,3,5,133550
44.1,5900,1,5,1,3,58500
88.6,7100,3,3,1,4,154530
41.3,3200,3,3,3,4,63850
99.1,5800,3,11,2,6,174540
58.8,5900,3,10,2,4,106690
44.7,5100,3,9,1,2,77110
54.2,3900,2,3,2,3,97310
97.2,8800,1,2,2,3,160700
24.4,6200,1,8,2,3,34980
63,4600,7,10,1,2,137110
51.7,4800,1,1,2,6,125390
98.9,9500,3,5,6,7,173620
31.5,9600,2,3,3,4,52160
66,6500,3,5,1,5,112790
20.6,3900,3,3,2,5,49200
36.1,6400,7,12,3,7,47080
37.2,3500,3,3,2,4,57550
98,3500,2,2,3,4,227110
32.1,9100,1,6,4,6,38360
56.3,3000,2,7,1,4,123600
25.1,9600,4,6,1,5,31590
53.4,7400,1,3,4,7,70640
65,600,2,2,5,7,184330
66.2,2700,1,12,2,5,130830
31.6,9600,2,9,3,6,57240
68.7,1800,6,6,3,4,188700
37.4,400,7,10,1,5,119870
98.1,6400,6,12,7,9,186390
49.7,3600,8,11,1,3,98060
54,800,6,7,1,3,101760
27.6,2300,10,12,2,5,69870
76.9,2600,2,3,3,6,183820
40.8,9300,1,1,3,4,54270
60.9,5200,7,8,3,6,82100
49.2,7100,6,12,3,7,66740
61,9400,2,5,1,4,94920
62.4,5200,5,10,1,2,110020
74.8,1600,1,10,4,5,143520
67.1,9600,3,4,1,2,106340
42.3,3800,4,5,3,4,81500
46.7,3100,10,12,5,9,119600
22.5,3700,3,10,1,4,44820
49.2,3900,7,9,1,4,86560
58.3,7100,9,11,3,6,88220
65.2,3700,1,1,2,4,117530
21.7,3200,2,3,2,4,52390
31.1,9900,6,9,1,4,58490
21,9800,9,10,3,5,35390
29.7,700,5,5,2,3,53540
34,200,3,3,3,6,101100
60.7,8700,5,5,3,4,92540
69.5,7300,2,4,2,5,118840
40.7,7300,4,6,4,8,75240
20.8,3700,3,8,2,4,48150
60.5,9800,6,7,1,5,93270
40.1,8100,1,8,1,5,50990
64.5,100,4,4,1,3,152430
56.8,6300,1,2,5,9,81330
40.1,1400,1,1,1,4,85350
70.5,1400,2,5,1,3,190870
64.8,9800,2,2,3,6,79840
37.5,4800,3,5,3,4,73850
24.5,1300,5,6,1,2,52630
35.6,7100,3,5,2,3,58000
58.9,8900,3,5,1,5,86730
53.4,7100,7,7,1,4,74680
20.9,4400,3,5,1,2,38890
39.7,6900,2,12,2,3,69010
49.4,4800,4,4,1,5,97540
68.7,9900,4,4,1,3,105110
28.3,2100,1,1,2,6,56690
64.4,9200,2,12,2,6,113120
36.5,7500,8,11,1,3,45900
86.5,400,3,5,2,4,272240
44.6,5000,4,4,1,5,66590
28.4,3600,1,2,2,6,58940
23.7,2400,6,12,3,4,52480
58.4,8300,7,10,2,3,108130
58.6,7300,2,3,4,7,70510
97.2,5100,2,4,3,5,171560
20.8,4400,5,12,1,2,48680
25,5000,1,1,1,2,33090
38,3500,4,11,1,5,86640
40.4,6300,1,1,1,4,59810
25.1,4300,5,11,1,3,54550
33,2700,2,5,1,5,72540
27.8,3900,8,11,1,2,61500
27.7,4900,2,7,1,4,51440
24,5100,3,6,1,2,34400
83.4,4000,1,8,4,6,142610
50.8,2600,5,7,2,6,121080
95.4,3800,1,9,2,3,158490
33.8,8000,4,9,1,3,47710
39.8,6600,2,2,1,4,62070
22.7,3700,10,12,3,5,51730
47.7,9900,1,1,2,4,62800
42.7,5000,5,5,1,4,76660
83,9000,3,12,2,3,134830
46.9,6200,1,1,2,4,82850
55.3,8800,3,3,2,3,80270
68.6,900,1,1,1,4,169590
36.5,9000,6,11,3,7,68960
44.4,6000,6,8,1,2,66390
83.2,7400,2,3,6,7,132080
58.1,4400,7,8,2,3,136210
85.1,6900,6,10,2,5,136140
60.1,5100,2,9,1,4,100370
37,5900,1,2,2,3,45220
58.5,6200,5,9,1,2,75740
79.4,8300,2,9,3,7,141880
33.1,4100,1,1,2,4,69940
63.7,800,2,2,1,5,135410
39.6,8000,1,1,1,2,61300
65.7,3800,4,4,1,3,111510
23.6,400,1,1,1,3,58170
75.1,7300,3,8,5,8,118640
29.6,4200,5,11,1,4,69820
34.2,2700,1,8,1,4,57340
66.9,1100,3,7,1,2,152460
95.5,200,3,7,3,7,226900
59.6,2700,1,3,5,9,125410
71.6,1300,1,7,2,4,180170
50.5,3500,1,2,1,3,111070
80.2,9700,4,4,5,7,94910
31.1,3400,2,2,2,4,56450
33.1,3600,7,8,1,5,68930
35.2,8700,2,3,4,8,48530
48.4,700,6,7,1,4,128500
54.6,8200,1,4,1,3,73160
26.3,7900,10,11,1,4,33250
40,6400,9,12,4,7,57600
62.6,4900,6,10,5,9,102220
41.5,9100,9,11,1,2,55740
91.8,2600,2,6,2,6,193780
21.1,2700,3,5,2,3,43690
52.9,2300,1,12,2,4,117160
66.7,9300,5,11,4,5,118550
49,100,8,11,1,3,133360
28.1,1300,6,7,3,4,55050
45.6,6300,5,5,1,3,81710
53.2,3000,1,7,1,4,116580
26.6,2800,1,10,1,3,60750
35.7,6800,1,1,2,6,46810
52,3100,2,4,2,4,87830
58.8,7400,5,12,3,7,96410
